difficulty,question,answers,related,random
4,dawdle,"amble, trudge, scurry, mope, saunter, leisurely, hurry, linger, wander, lag, dally","scurries, scampered, shamble, demurely, stumble, perseverate, dither, stept, temporise, procrastinates","honours, guerrilleros, involutional, infuriation, snippit, immediacy, scoff, devout, counterargue, viewpoint"
5,dearth,"shortage, abounding, good, scarcity, lack, scarcities, famine, plentiful, scarce, abundant, paucity","concern, astonishing, suffcient, short-coming, demand, quanity, infelicity, sceptism, plentitude, particulalry","perrogative, postprocedure, unmeasurable, formalize, slander, mimicking, chromaticism, retracted, conform, scampered"
6,dearth,"shortage, abounding, good, scarcity, lack, scarcities, famine, plentiful, scarce, abundant, paucity","concern, astonishing, suffcient, short-coming, demand, quanity, infelicity, sceptism, plentitude, particulalry","platitudinous, moistening, subversion, unmown, blackmails, decasyllabic, confirmation, restive, intrusion, reluctant"
6,debilitate,"derange, paralyze, cripple, enfeeble, demoralize, paralyse, drain","war-devastated, over-dependence, insidiousness, body-blow, havock, unsurvivable, imperil, aggrandise, militarise, hinderence","foreseeing, sporadic, voluntary, convey, demonstrate, argumentitive, propinquity, aggressive, newbie, inconspicuous"
3,decade,"ten, 2000s, 1990s, tenner, century, 10, year, years, X","1990s-2000s, year-2000, 2060s, 30-years, 1960s-1980s, fifties, 15years, years.as, 20-years, year.and","reined, nonadjacent, honest, stylistics, recollecting, elucidate, veristic, quandaries, duplicitous, discomfort"
6,decadence,"degeneration, degeneracy, depravity, superficiality, debauchery, barbarism, immorality, hedonism","slavishness, cupidity, modernism, vacuity, renaissance, indifference, splendor, baseness, passivity, lawlessness","newcomer, esthetical, semiprecious, plucky, eventful, particularize, avian, reprove, redundancies, joyous"
4,deceitful,"ambidextrous, unscrupulous, fraudulent, hypocritic, manipulative, duplicitous, fallacious, mendacious, dishonest, hypocritical, disingenuous","unmerciful, down-right, riduculous, ruthless, scare-mongering, pretentious, machiavellian, black-hearted, deluded, pseudo-liberal","publish, counterstrikes, spate, apocalypse, diabolically, guerrilleros, incentivise, downplay, dare, sticken"
1,decide,"ask, propose, resolve, claify, adjudicate, proceed, procede, choose, agree, do, determine, chooose, settle","handpick, begin, whether, takle, determinator, undertake, for--to, suppose, wouold, pursuaded","fool, ascribed, suposition, succinctness, forlorn, exposure, evanescent, propone, restive, scurries"
3,declare,"announce, proclaim, recognize, assert, affirm, denounce, adjudge, hold, proclaiming, proclaimed","swear, rescind, indicate, suppoed, forswear, calrify, prevaricate, definitively, callest, treaten","wish, necessarily, luxurious, proceded, anachronistic, chuckled, tumult, overtures, activate, procrastinates"
2,decrease,"diminishing, lessen, reduce, minify, reduced, increases, lessening, increased, diminution, diminish, increasing, fall, reduction","13-fold, conﬂict, renormalize, reoccurrence, over-compensate, cutpoint, lowering, re-initiate, through-put, prevalence","confute, disidentification, lifeline, considerable, optional, subnote, fractious, studious, nonintrusive, tranquility"
2,defend,"maintain, assail, support, fight, criticize, uphold, protect, assert, guard, represent, refute, justify, fortify, vindicate, champion, denounce, hold, oppose","investigate, disorganize, irradicate, reinterate, vigorously, actualise, reject, obliterate, dig-in, manhandle","shoehorn, atraumatic, spunky, burstiness, reduplicative, skimread, inapplicable, compliant, undependable, electrochemist"
2,defend,"maintain, assail, support, fight, criticize, uphold, protect, assert, guard, represent, refute, justify, fortify, vindicate, champion, denounce, hold, oppose","investigate, disorganize, irradicate, reinterate, vigorously, actualise, reject, obliterate, dig-in, manhandle","martians, limitative, embarras, voluble, nobble, submit, humiliate, targeter, all, reveal"
6,deference,"compliancy, politeness, disdain, circumspection, gratitude, obligingness, respect, contempt, courtesy, respectfulness, obsequiousness","servility, openmindedness, learnedness, rectitude, self-restraint, disinterestedness, uninterest, respects, unwisdom, sensitivity","dangers, incitement, endure, excessive, lineation, inexhaustive, noteworthy, datalog, provokes, majestic"
5,deficient,"substandard, lacking, flawed, woefully, inadequate, ineffective, wanting, imbalanced, inferior","underproduction, unworkably, inaccurate, toxically, debilitatingly, abysmal, wrong-side, problem-prone, improper, insanitary","dickery, pursuade, relfect, woozle, aforementioned, costly, unrealistic, americanize, pointless, unambiguous"
6,deleterious,"consequential, hurtful, beneficial, detrimental, effects, harmful, undesirable, effect, baneful","nonquantifiable, unappropriate, hazardous, regrettable, hurtfull, behavious, long-terms, legitimate, bad-quality, too-obvious","seive, chastize, persistent, profoundly, cadential, touchiness, whirs, phony, custom, anonymouse"
6,delineate,"draw, line, discern, specify, characterize, define, describe, circumscribe, identify, limn, outline, distinguish, represented, trace","reconcile, refine, neaten, thematize, indiscernable, separate, modularize, underline, itemize, particularise","exceded, insightful, clientage, gence, suffer, edict, precice, reviewd, victimize, prolife"
6,demagogue,"populists, panderer, populist, rightwinger, bogyman, prevaricator","excoriate, hate-mongering, dogmatist, redistributionist, nationalist, buffoonish, jew-hater, supremist, panderers, con-man","deplorable, inexistence, laborious, stupendous, refuting, uncharitable, famousness, disdain, unavoidability, superstardom"
4,demeanor,"conduct, behaviour, personable, courteousness, attitude, temperment, easygoing, personality, deportment, behavior, impassive, affability","chameleon-like, nonjudgmental, acerbity, devil-may-care, temper, nonthreatening, statesmanlike, chumminess, likability, sangfroid","stablize, accusatory, summarizing, hardship, reinvigorates, journey, slither, cautiousness, impeccable, prudent"
5,demeanor,"conduct, behaviour, personable, courteousness, attitude, temperment, easygoing, personality, deportment, behavior, impassive, affability","chameleon-like, nonjudgmental, acerbity, devil-may-care, temper, nonthreatening, statesmanlike, chumminess, likability, sangfroid","unexhausted, measure, trichromatic, main, provocative, depleted, prolonged, allow, multistep, biogenic"
3,democracy,"commonwealth, republic","militarism, politicall, single-party, non-racism, freedome, liberalness, civlization, civil-society, rule-of-law, liberalisms","settler, suceed, ample, cede, psychopathic, suberect, grubbed, dino, euphoria, quirk"
2,demonstrate,"exemplify, explain, present, prove, shew, attest, evidence, clearly, exhibit, reveal, march, establish, certify, showing, manifest, show","expeience, explaine, typify, rigidify, bring, outling, exaplain, underline, instrumentalize, calrify","focus, remedying, insulate, clairify, phonologic, reassert, presented, reorganize, forswear, tranquilised"
5,demonstrate,"exemplify, explain, present, prove, shew, attest, evidence, clearly, exhibit, reveal, march, establish, certify, showing, manifest, show","expeience, explaine, typify, rigidify, bring, outling, exaplain, underline, instrumentalize, calrify","pursuade, depoliticize, exasperations, apprciate, impediment, deregulate, woefully, conspires, correspondency, shakin"
4,depict,"portrays, show, dramatize, portraying, render, draw, pictorially, characterize, picture, describe, limn, portray, illustrate, represent, portrayed","predict, prophesize, imitate, scenes, actualise, sexualize, chronicle, reconceive, describes, caricatured","antiquated, courteous, sensivity, superficiality, acomplish, countenance, request, resonance, agree, enlist"
5,depict,"portrays, show, dramatize, portraying, render, draw, pictorially, characterize, picture, describe, limn, portray, illustrate, represent, portrayed","predict, prophesize, imitate, scenes, actualise, sexualize, chronicle, reconceive, describes, caricatured","startles, profusion, concept, poorely, confused, sharply, hobbiest, ""ved"", jlabel, usual"
5,deplore,"bemoan, abhor, lament, decry, condemn, detest, criticize, criticise, decried, denounce, despise, bewail","say, believe, denouncing, abjure, criticizes, ascribe, apolgize, remilitarize, venerate, exasperate","subtend, tired, stridency, tenacious, excludable, nonconfrontational, geopark, countersue, transgress, chapbook"
6,deprecate,"supersede, recategorise, debase, disparage, disaprove, recategorize, sanctify, vilipend","categorise, standarize, vitiate, dispise, overriden, de-stabilize, replace, execrate, disgaree, re-propose","tear, unfeeling, decipher, howeve, vaguenesses, renforçant, regrettable, appam, repeal, squeamish"
4,derive,"calculate, extract, generate, obtain, deduct, educe, come, gain, infere, descend, relate, infer, deduce","calrify, interpolate, illustrate, masticate, evoke, tranfer, use, clasify, earn, impute","try, mellifluous, implied, refurbishing, architect, passiveness, refference, petulent, effete, intimidates"
5,derive,"calculate, extract, generate, obtain, deduct, educe, come, gain, infere, descend, relate, infer, deduce","calrify, interpolate, illustrate, masticate, evoke, tranfer, use, clasify, earn, impute","overemphasize, misinterprete, truculent, handiness, consquence, gloaters, prognostication, temperamentally, keloid, accompanies"
4,derogatory,"demeaning, pejorative, pejoratives, disparaging, perjorative, prejorative, slanderous","undescriptive, poorly-worded, unrespectful, sneery, non-inflammatory, venacular, provocative, abusive, descriptive, presumptious","unsubstantial, incentivise, conformist, seeped, attmept, deliquescent, tangent, deceptiveness, masterwork, editon"
5,derogatory,"demeaning, pejorative, pejoratives, disparaging, perjorative, prejorative, slanderous","undescriptive, poorly-worded, unrespectful, sneery, non-inflammatory, venacular, provocative, abusive, descriptive, presumptious","foregrounding, contempt, bypassing, empathize, crises, infraspecific, linearize, nonconformists, wrenched, clarifiy"
1,describe,"account, draw, line, explain, characterize, delineate, depict, discover, define, identify, name, summarize, key, distinguish, report, trace","decribing, differentiate, introduce, addresser, summate, reallize, clairify, correspond, expostulate, recapitulate","reinspect, explaine, ostentation, thriftless, quibble, oscillate, embitterment, opposer, repay, acculturate"
2,describe,"account, draw, line, explain, characterize, delineate, depict, discover, define, identify, name, summarize, key, distinguish, report, trace","decribing, differentiate, introduce, addresser, summate, reallize, clairify, correspond, expostulate, recapitulate","indetermined, hinterland, precarious, differenciate, defrock, personalize, approve, harmonicity, unrigorous, stinker"
2,describe,"account, draw, line, explain, characterize, delineate, depict, discover, define, identify, name, summarize, key, distinguish, report, trace","decribing, differentiate, introduce, addresser, summate, reallize, clairify, correspond, expostulate, recapitulate","turnabout, revelance, antiglare, exuberance, liketo, blossom, abrogate, unworkable, unnerve, disprove"
4,despicable,"disgusting, wretched, loathsome, vile, ugly, worthless, slimy, repugnant, unworthy, abhorrent, shameful, disgraceful","bizarre, un-patriotic, unloveable, farcical, abusive, inhumanly, misogynic, viscious, disingenuous, monstruous","confronted, beautify, specialties, critcise, trotskyite, burn, devotion, typifies, collusion, unscrutinized"
4,despondent,"anxious, depressed, forlorn, dispirited, weary, morose, unhappy, distraught, heartsick, dejected, disillusioned","shellshocked, dispiritingly, home-sick, irate, enthusiastic, unsatisfied, unhappily, hungry, glassy-eyed, infatuated","approximability, interfiled, fervent, admirer, drenched, neccessitate, faciliate, subverter, inclusiveness, breathless"
6,despot,"dictatorial, autocrat, ruler, dictators, dictator, overlord, tyrannical, potentate, tyrant, megalomaniac","half-ape, flatterer, tyran, detestable, nutter, terriorist, knobhead, psychopathic, prole, plunderer","speak, unimportantly, dissmissive, sextic, crystalize, regular, temperment, stricktly, populist, infelicitous"
1,detail,"description, depth, overview, elaborateness, particular, point, contingent, specifics, item, outline","bit-depth, inforation, back-story, exaustive, exhaustiveness, explanatory, emphemeral, referencess, specifity, lengthly","concilliatory, uncooperative, constrained, unignorable, aggrandise, apprised, precedential, defintiion, passivity, outpoll"
2,detail,"description, depth, overview, elaborateness, particular, point, contingent, specifics, item, outline","bit-depth, inforation, back-story, exaustive, exhaustiveness, explanatory, emphemeral, referencess, specifity, lengthly","deceptiveness, fooled, conventionalist, asthetic, disparages, goof, conlude, chills, disqualifies, exalted"
2,details,"particulars, precises, relevants, particular, point, hints, contingent, cutlines, specifics, informalities, specific, outlines, item, descriptions","elaborateness, misreports, scences, less-detailed, linkes, crossreferences, non-examples, importances, confims, informaation","preferance, uncomfortable, sympathized, efficient, dishonours, symantics, critizise, concurrent, cauline, motivates"
5,detract,"enhance, demean, cheapen, vitiate, hinder, overshadow, diminish, negate, undermine","taint, exagerrate, jeopardize, magnify, superfluousness, illustrate, mis-represent, unsettle, distracting, critise","remark, appoligize, toilsome, ardency, legnthy, sporatic, shivering, courageousness, difficult, force"
4,devastate,"scourge, cripple, destory, destroy, imperil, ravage, impoverish, waste, threaten","disorient, re-invigorate, irreparably, protect, desastrous, dominate, properity, baneful, detroy, revitalize","imperiling, reviewd, quadratics, disapproved, seclusive, incredibley, dominancy, durability, hardline, extremely"
5,devastate,"scourge, cripple, destory, destroy, imperil, ravage, impoverish, waste, threaten","disorient, re-invigorate, irreparably, protect, desastrous, dominate, properity, baneful, detroy, revitalize","scrutinize, percolate, unambitious, polemicist, terrible, defintive, wellbeing, resolved, particlularly, overbearing"
2,develop,"create, educate, implement, explicate, break, maintain, recrudesce, modernise, germinate, build, modernize, grow, get, expand, promote, prepare, rise, establish, uprise, evolve, arise, acquire, originate, produce, formulate, train","reacquire, finalize, re-colonize, re-define, employ, publicize, re-earn, collectivise, re-invigorate, assemble","critised, inflicts, dynamic, unsophisticated, eason, map, polydor, silliness, suspend, artistic"
2,develop,"create, educate, implement, explicate, break, maintain, recrudesce, modernise, germinate, build, modernize, grow, get, expand, promote, prepare, rise, establish, uprise, evolve, arise, acquire, originate, produce, formulate, train","reacquire, finalize, re-colonize, re-define, employ, publicize, re-earn, collectivise, re-invigorate, assemble","reasearched, fell, chasteness, irrealistic, uncreative, acquiescence, disingenuousness, encourage, organized, hypertechnical"
4,devious,"underhanded, roundabout, oblique, cunning, sinister, deceitful, sneaky, manipulative, crafty, scheming, shifty","unsuspicious, power-obsessed, eccentric, unsuspected, depraved, resourceful, expansionist, diabolically, harebrained, evil-minded","infuriation, succeed, advised, soource, amused, resolve, location, unneeded, quickfix, dismayed"
6,devious,"underhanded, roundabout, oblique, cunning, sinister, deceitful, sneaky, manipulative, crafty, scheming, shifty","unsuspicious, power-obsessed, eccentric, unsuspected, depraved, resourceful, expansionist, diabolically, harebrained, evil-minded","revive, brusque, narcisstic, annualization, uneven, year, represention, monarchal, ascribes, poplular"
4,devour,"down, satiate, guttle, consume, pig, slay, ravenous, ravish, ravenously, eat, raven, hungrily, cannibalize","overwhelm, ingest, swallowers, satiates, seize, leviathans, eatin, disembowels, bewitch, flatten","charateristic, cherrypick, unconcern, toxically, appoligize, borrow, seduce, vegging, deduce, examing"
1,diagram,"graph, map, fig.1, schematic, chart, plot, schematics, venn, flowchart, illustration","spirograph, fig.4, equation, dication, pie-charts, netlist, cross-hair, photograph, map-like, statecharts","prevision, overstate, reformulates, percise, temporising, cried, leval, retell, methodologic, imbalanced"
2,diagram,"graph, map, fig.1, schematic, chart, plot, schematics, venn, flowchart, illustration","spirograph, fig.4, equation, dication, pie-charts, netlist, cross-hair, photograph, map-like, statecharts","traceable, truculent, hardline, perpetual, theologist, unrushed, ramble, whir, instrumentalize, reitterate"
6,didactic,"pedagogic, pedagogical, polemical, clinical, educative","anti-utopian, panegyrical, medical-based, case-oriented, illuminative, rationalistic, cliché-ridden, axiological, whimsical, inartistic","convinction, fortuitous, rereview, indiciate, condemn, amenable, overwhelm, disinterested, blatent, goodwill"
1,difference,"disparity, similarities, remainder, departure, discrepancy, distiction, disctinction, distinction, deviation, similarity, conflict, discrepency, variation, dispute","discrepant, hinderence, incongruencies, significanlty, type-token, symantics, divergencies, poiint, peculiarity, great","instantaneous, stupid, swear, landmark, formula, aid, capricious, conciliation, adjust, idential"
2,difference,"disparity, similarities, remainder, departure, discrepancy, distiction, disctinction, distinction, deviation, similarity, conflict, discrepency, variation, dispute","discrepant, hinderence, incongruencies, significanlty, type-token, symantics, divergencies, poiint, peculiarity, great","unauthenticated, manipulable, strew, diffident, unimpressed, unobvious, semipermanent, charming, overcoming, entice"
1,different,"similar, varous, dissimilar, distinct, unlike, identical, varying, other, various, same","contradictory, relevant, thesame, same-same, interal, variated, vaious, varyingly, comparible, non-true","dynamism, admonition, warn, repast, warmonger, snubs, pertain, fascinating, zaniness, opt"
5,digress,"delve, depart, sidetrack, disgree, stray, quibble, belabor, divagate, nitpick, wander, ramble, straggle, interject","usefule, piss-off, elide, counter-argue, misinterprete, misapprehend, reak, re-quote, well-put, non-reply","vividness, desolated, critial, commnity, their, amid, spunky, inexorability, replacement, unthink"
6,digression,"tangent, rambling, parenthesis, briefness, excursus, tangential, aside, rambly","rant, tiresome, annecdote, mini-lecture, prattle, neglection, subtility, self-justification, retrospection, whimsicality","actuallly, unbiased, incautious, seclusive, dirrect, beautifull, parasiting, recitalist, medieaval, irk"
5,dilemma,"predicament, quandaries, quandary, situation, conundrums, conundrum, paradox, conundra, problem","misgiving, unrealism, porblem, solve, muddiness, paradoxalement, too-hasty, issue--and, unworkability, shortage","rederive, boarder, evidene, brought, interpret, prudence, authoritarian, fairness, tell, uncertain"
5,diligent,"thorough, vigilant, persevering, conscientious, skillful, meticulous, attentive, assiduous, zealous, scrupulous, careful","confident, vigourous, inattentive, loving, clear-thinking, heedful, obedient, fastidiously, gracious, humble","uprise, facilitatory, comprising, conduct, chastisement, headline, undecipherable, conversant, automatize, caroused"
6,diligent,"thorough, vigilant, persevering, conscientious, skillful, meticulous, attentive, assiduous, zealous, scrupulous, careful","confident, vigourous, inattentive, loving, clear-thinking, heedful, obedient, fastidiously, gracious, humble","scant, additionally, prettification, possess, unseemly, hardship, grouchy, impels, deep, uninvited"
3,dimension,"transdimensional, property, attribute, multidimensional, tridimensional, aspect","concpet, dispersivity, value-form, infinty, quantity, value-system, object-space, one-dimensional, salience, measure","exuberance, ommit, opt, overcoming, coincidental, deteriorate, inlet, comprehension, bathetic, industrialism"
1,directions,"advices, management, counseling, focussing, instruction, way, guidance, steering, leadings, guidances, counselling, focusing, centering, commission, paths, charge, focus, counsel","outlines, commands, fundaments, points, heading, obervations, signages, scences, perspectives, reorients","converging, revitalise, goslings, resentful, lulls, divy, authority, massivley, sublist, encourge"
1,disappointed,"saddened, underwhelmed, embarrassed, surprised, shocked, gratified, unsurprised, unimpressed, foiled, annoyed","unpleased, flustered, sympathized, pained, unfazed, despondent, enamoured, tired, concerned, grateful","equity, polydor, invariably, brouhaha, enflame, suvs, operationalize, calculate, jaded, consolidate"
2,disappointed,"saddened, underwhelmed, embarrassed, surprised, shocked, gratified, unsurprised, unimpressed, foiled, annoyed","unpleased, flustered, sympathized, pained, unfazed, despondent, enamoured, tired, concerned, grateful","uncoordinated, institutionalize, legitimatly, outrageously, discomforted, optimist, uneasiness, genial, unaccustomed, diabled"
2,disappointed,"saddened, underwhelmed, embarrassed, surprised, shocked, gratified, unsurprised, unimpressed, foiled, annoyed","unpleased, flustered, sympathized, pained, unfazed, despondent, enamoured, tired, concerned, grateful","desolate, sensical, superheroic, correponding, herds, nasty, amused, eschew, difuse, municpalities"
1,discover,"attain, hear, find, break, investigate, detect, notice, describe, learn, unwrap, identify, reveal, name, observe, see, examine, strike, key, expose, divulge, explore","re-assure, conceptualize, findit, arrive, remmber, inderstand, replicate, recreate, found, initiate","restablish, refer, fearless, imigrant, irascible, hypokinetic, apathetically, bemusement, comraderie, reinserts"
1,discover,"attain, hear, find, break, investigate, detect, notice, describe, learn, unwrap, identify, reveal, name, observe, see, examine, strike, key, expose, divulge, explore","re-assure, conceptualize, findit, arrive, remmber, inderstand, replicate, recreate, found, initiate","real, enervated, demutualise, accomplishment, eliminativist, polemical, outsmart, persecute, downplays, swarm"
6,discredit,"impugn, denigrate, demean, demonize, belittle, vindicate, besmirch, undermine, embarrass, defame","big-up, ostracize, defang, blacken, fear-monger, detraction, confound, mis-representation, highjack, de-politicise","reinspect, spurn, impling, pessimist, dreadfull, unneccessary, notifcation, provoke, proir, assistence"
6,disdain,"contemptuousness, contempt, despise, patronage, scorn, reject, contemn, contemptuous, hostility, condescension, loathing, spurn, indifference, antipathy, reverence, despite","embitterment, detraction, circumspection, officiousness, irreverence, exasperations, sneery, contrariness, prejudice, temerity","extract, precatalyst, mistrustful, buffoonish, guidelines, juxtapositioning, misjudge, opercular, transparence, staffer"
6,disparage,"deride, impugn, vilify, denigrate, belittle, demean, demonize, criticize, denigrates, defame","confuse, victimize, infuriate, reify, maligning, coddle, controvert, essentialize, aggrieve, arrogate","ensurance, reverent, offcially, careful, reappear, chewed, imperiling, skewed, chill, uneven"
5,disparity,"inequal, incongruence, imbalance, mismatch, difference, differences, unfairness","properity, breakdown, crowding-out, under-reporting, double-standard, gender-related, incongruencies, effect, cross-race, non-representation","examing, mention, qualifiable, precice, prearranged, relevants, identifcation, thriller, mindblowing, flashy"
3,dissatisfied,"embittered, annoyed, aggrieved, frustrated, resentful, uninterested, unhappy, indifferent","miseducated, unsettled, perturbed, clueless, intimidated, over-anxious, obsessed, ill-motivated, work-obsessed, deluded","reproved, impel, superceed, subjectmatter, requirement, thining, conciliations, blinkered, speciality, militarise"
5,disseminate,"spread, broadcast, publish, diffuse, promote, publicize, circularise, publicise, transmit, circularize","re-produce, conceal, collectivise, conserve, vitalize, faciliate, classify, enrich, purvey, internalize","inefficient, disturbances, outline, clatter, worthwhile, reify, methodic, typify, ravage, trudged"
5,dissent,"differ, suppression, suppress, vociferous, resist, suppressed, opposition, squelching, objection, suppressing, stifled, protest, stifling","supress, critcise, affirmance, ever-louder, mob-rule, unanimous, stement, confrontative, unreconciled, relious","institutionalize, reiterates, professionalize, illegible, perpetuate, particuliar, earn, archetypical, underemphasize, extravagances"
5,dissident,"leftist, communist, objector, oppositionist, contestant, heretical, activist, protester, renegade, heterodox, militant, trotskyite","militants, hard-left, non-jihadist, ex-roman, malcontent, pro-democracy, party-loving, anti-kremlin, leftists, ex-socialist","counterbalancing, vaguenesses, variational, jabbed, mportant, deemphasize, eschew, cauline, neutal, deduce"
6,dissonance,"consonances, tonal, tension, chromaticism, racket, cacophony, tonality, noise, atonality, incongruity","logicality, confusion, saliency, sensationalization, intransitivity, cadential, self-other, voice-leading, moralization, foregrounding","reivew, underpredict, psuedonyms, defame, noncontinuous, heimpel, dictatorship, liketo, underpin, nonchalance"
5,distort,"garble, amplify, misrepresent, exaggerate, inflate, color, undermine, warp, strain, obfuscate, wring, alter, twist, colour, twine, manipulate, skew, tinge, falsify, deform","over-inflate, misrepresenting, redefine, cherrypick, divert, frustrate, stymy, superimpose, biases, attenuate","corelate, instils, ghastly, hyphenate, exent, read, wanly, subpoints, measurable, renounce"
5,distraught,"terrified, enraged, bewildered, frightened, angry, inconsolable, heartbroken, dejected, despondent","rageful, unhappier, peeved, sad-faced, irrate, weepy, concerned, over-anxious, crazed, frustated","contraditions, weird, recirculates, enrgy, remainder, panderer, tatter, association, jettison, reintegration"
2,distribute,"spread, collect, broadcast, circulate, propagate, stagger, publish, diffuse, allot, lot, circularise, deal, administer, organize, circularize, produce, transmit, sell, deliver","on-sell, protect, amplify, remunerate, self-generate, commoditise, suply, unload, suppress, propogate","coincide, jokester, disubstituted, oratorial, portentous, inaugural, vulnerably, snubs, subcomponent, fortuitous"
6,divergent,"differing, contradictory, convergence, distinct, convergences, disparate, converging","intollerant, disjointedness, exocentric, evolutional, unreconciled, incommensurate, situation-specific, unilinear, asymmetrical, ideology-free","treaten, depleted, terseness, shoddy, casue, mendacious, counterclaim, cajole, linkify, acquiescence"
5,diversion,"illicit, transhipment, transshipment","crime-reduction, misdirections, trickledown, waste-reduction, crowding-out, disposal, time-release, water-pump, river-crossing, phasing-out","cowed, unredeemable, comprehension, whacked, synthesize, squealed, ascertain, semiabstract, rouse, shore"
4,diversity,"multifariousness, variety, inclusiveness, richness","racially-biased, open-ness, reducation, varing, ethno-cultural, sex-biased, equity, resiliency, equality, gender-equity","dejected, flimsy, lately, virtuously, paraphrase, collusion, lawyer, confusion, liason, habitants"
5,divert,"distract, deviate, attract, misdirect, tempt, concentrate, frustrate, amuse, disrupt, disport, entice, deflect, refocus","over-rely, bury, jettison, re-direct, drip-feed, atract, outflank, inundate, dump, integrate","reoccurrence, binge, regionalize, ratiocinative, madate, mollycoddle, loquacious, easily, ruthless, faithfulness"
2,division,"class, variance, part, partitioning","inter-conference, split, fire-brigade, sub-units, championship, operations, reorganisation, battlegroup, sub-offices, counter-position","spate, tecniche, rascal, unrigorous, actual, bilk, qualificative, outfox, standarize, therefore"
5,docile,"tame, gentle, teachable, obedient, placid, submissive, acquiescent, biddable, pliant, meek, timid, subservient","warm-hearted, meeker, mouthy, defiant, graceful, manipulable, circumspect, arrogant, open-hearted, good-hearted","dampen, efficiency, troublemaking, big, versal, interpretion, comendable, sayes, noncausal, preliminary"
3,dominate,"monopolise, rule, monopolize, emerge, reign, master, prevail, monopolised, overlook, command, occupy, compete, pervade, eclipse, overtake, overshadow, overtop","continue, reate, redound, unsettle, devaluate, critcize, re-emergent, retrun, impinge, re-center","nullify, very, repast, newdata, enunciate, reward, waling, shiftless, jusrisdiction, citation"
5,dormant,"moribund, active, quiescent, inactive, reactivated, torpid, reactivate, sleeping, hibernating","thistle-like, intermittently, awakens, self-renewing, under-ground, plant-like, turned-off, remain, plant-filled, long-shuttered","antediluvian, specifical, contentless, caustic, tottered, commensurable, educate, lifeless, polemical, falacy"
3,drastic,"consequential, profound, sudden, gradual, precipitous, radical, abrupt, reversal, serious","long-feared, up-turn, systematical, modification, alarming, obliterative, reduction, surprising, prolonged, further-reaching","impishly, brutalizing, reassesses, disorientate, disdain, freedome, saying, originate, uneffective, engender"
1,drowsy,"sleepy, asleep, groggy, sleepiness, yawning, somnolent, lethargic, dozy, woozy, oscitant","monotonous, coma-like, tuneful, snored, thirsty, lulls, glassy-eyed, complacent, anxiety-ridden, unrefreshing","signeddata, registery, vasty, postulates, unnameable, presenter, contrast, transmit, questioned, uncooperative"
3,drowsy,"sleepy, asleep, groggy, sleepiness, yawning, somnolent, lethargic, dozy, woozy, oscitant","monotonous, coma-like, tuneful, snored, thirsty, lulls, glassy-eyed, complacent, anxiety-ridden, unrefreshing","reactivity, reconception, heighten, abates, immobilize, backing, unintuitive, dilemma, incurious, hardline"
6,duplicity,"deceit, fraudulence, hypocrisy, perfidy, deceptiveness, underhandedness, deception, corruptness, deceitfulness","furtiveness, naivity, passiveness, misdirections, fatuousness, evasions, amateurishness, self-betrayal, guilelessness, illegality","exhilarating, duplications, profoundly, flock, maddened, recharacterized, supppose, interntional, temperamentally, comprehensive"
3,edible,"pabulum, victual, nutritious, delicious, appetizing, tasty, victuals, unappetizing","oddly-shaped, monster-sized, tastless, dogfood, egg-free, awful-looking, salt-baked, fancy-looking, tea-based, plentiful","heteronomous, dissappointing, restraint, cacaphony, technocratic, entreaties, breake, fundamental, sutible, tecniche"
6,edifice,"building, superstructure, crumbling, facade, structure","re-erection, buildings-, re-erect, colonnade, three-story, 46-story, eleven-story, palatial, domed, pagoda-like","peruse, chastisement, supportiveness, midcoast, itself, exceptional, retracted, newname, grisly, abnormality"
1,edit,"cut, revsion, revert, delete, redact","wiki-history, rewite, re-removal, userdraft, over-editing, pre-editing, article-content, revertable, auto-link, up-page","chuckled, aromantic, antiliberal, breake, cliffhanger, prettify, sweltered, reenergize, heterogeneous, analyze"
1,effect,"issue, cause, upshot, burden, essence, outcome, core, force, result, event, consequence, impression, impact, gist","reacceleration, conﬂict, re-challenge, leval, subseqent, resonse, possibiity, counter-balancing, falling-off, force","handicraftsmen, circumstances, highflying, incurious, reconfirm, quetzal, generosity, baneful, hinder, heartless"
2,effect,"issue, cause, upshot, burden, essence, outcome, core, force, result, event, consequence, impression, impact, gist","reacceleration, conﬂict, re-challenge, leval, subseqent, resonse, possibiity, counter-balancing, falling-off, force","previosly, blacken, interrogate, refference, preconvention, approve, adifferent, surge, dumbfounding, assertional"
2,effective,"successful, good","in-control, inter-active, high-benefit, open-hand, non-conducive, poweful, simulative, step-change, purposeful, critically-needed","relevent, beautiful, publicise, participation, nonliving, aberration, sticken, dissatisfactory, informaation, overprotect"
6,effervescent,"bubbling, ebullience, sparkly, brilliant, impish, beguiling, scintillating, vivacious, exuberant, zestful, bubbly, energetic, sparkling, frothy","quicksilver, good-spirited, spunky, low-key, strong-minded, preternaturally, ever-smiling, unfussy, blissed-out, janus-like","primordialism, cranky, encouragment, amalgamate, fool, babbled, documents, readable, inconsolable, conundrum"
3,effortless,"straightforward, intuitive, unselfconscious, purposeful, casual, uncomplicated, easy","self-documentation, fabulousness, simple-mindedness, artful, on-the-ball, enjoyable, mindblowing, force-of-nature, appealingly, ostentatiousness","moralise, hobbiest, clawback, glow, disappear, propriate, sensible, glumness, genuine, twilight"
