difficulty,question,related,random,answers
6,demagogue,"excoriate, hate-mongering, dogmatist, redistributionist, nationalist, buffoonish, jew-hater, supremist, panderers, con-man","deplorable, inexistence, laborious, stupendous, refuting, uncharitable, famousness, disdain, unavoidability, superstardom"," populist, agitator, firebrand"
4,demeanor,"chameleon-like, nonjudgmental, acerbity, devil-may-care, temper, nonthreatening, statesmanlike, chumminess, likability, sangfroid","stablize, accusatory, summarizing, hardship, reinvigorates, journey, slither, cautiousness, impeccable, prudent","deportment, conduct"
2,demonstrate,"expeience, explaine, typify, rigidify, bring, outling, exaplain, underline, instrumentalize, calrify","focus, remedying, insulate, clairify, phonologic, reassert, presented, reorganize, forswear, tranquilised","prove, establish"
4,depict,"predict, prophesize, imitate, scenes, actualise, sexualize, chronicle, reconceive, describes, caricatured","antiquated, courteous, sensivity, superficiality, acomplish, countenance, request, resonance, agree, enlist","portrays, show, render, characterize, describe, represent"
5,deplore,"say, believe, denouncing, abjure, criticizes, ascribe, apolgize, remilitarize, venerate, exasperate","subtend, tired, stridency, tenacious, excludable, nonconfrontational, geopark, countersue, transgress, chapbook","bewail, bemoan, lament"
6,deprecate,"categorise, standarize, vitiate, dispise, overriden, de-stabilize, replace, execrate, disgaree, re-propose","tear, unfeeling, decipher, howeve, vaguenesses, renforçant, regrettable, appam, repeal, squeamish","debase, disparage, disaprove"
4,derive,"calrify, interpolate, illustrate, masticate, evoke, tranfer, use, clasify, earn, impute","try, mellifluous, implied, refurbishing, architect, passiveness, refference, petulent, effete, intimidates","calculate, extract, generate, obtain,  infer, deduce"
4,derogatory,"undescriptive, poorly-worded, unrespectful, sneery, non-inflammatory, venacular, provocative, abusive, descriptive, presumptious","unsubstantial, incentivise, conformist, seeped, attmept, deliquescent, tangent, deceptiveness, masterwork, editon","demeaning, pejorative, disparaging, slanderous"
1,describe,"decribing, differentiate, introduce, addresser, summate, reallize, clairify, correspond, expostulate, recapitulate","reinspect, explaine, ostentation, thriftless, quibble, oscillate, embitterment, opposer, repay, acculturate","account, explain, characterize, delineate, depict, summarize"
4,despicable,"bizarre, un-patriotic, unloveable, farcical, abusive, inhumanly, misogynic, viscious, disingenuous, monstruous","confronted, beautify, specialties, critcise, trotskyite, burn, devotion, typifies, collusion, unscrutinized","wretched, loathsome, vile"
4,despondent,"shellshocked, dispiritingly, home-sick, irate, enthusiastic, unsatisfied, unhappily, hungry, glassy-eyed, infatuated","approximability, interfiled, fervent, admirer, drenched, neccessitate, faciliate, subverter, inclusiveness, breathless","forlorn, dispirited, morose, unhappy, distraught"
6,despot,"half-ape, flatterer, tyran, detestable, nutter, terriorist, knobhead, psychopathic, prole, plunderer","speak, unimportantly, dissmissive, sextic, crystalize, regular, temperment, stricktly, populist, infelicitous"," autocrat, dictator, tyrant"
1,detail,"bit-depth, inforation, back-story, exaustive, exhaustiveness, explanatory, emphemeral, referencess, specifity, lengthly","concilliatory, uncooperative, constrained, unignorable, aggrandise, apprised, precedential, defintiion, passivity, outpoll","particular, item, point"
5,detract,"taint, exagerrate, jeopardize, magnify, superfluousness, illustrate, mis-represent, unsettle, distracting, critise","remark, appoligize, toilsome, ardency, legnthy, sporatic, shivering, courageousness, difficult, force","cheapen, diminish, negate, undermine"
4,devastate,"disorient, re-invigorate, irreparably, protect, desastrous, dominate, properity, baneful, detroy, revitalize","imperiling, reviewd, quadratics, disapproved, seclusive, incredibley, dominancy, durability, hardline, extremely","cripple, destroy, ravage, waste"
2,develop,"reacquire, finalize, re-colonize, re-define, employ, publicize, re-earn, collectivise, re-invigorate, assemble","critised, inflicts, dynamic, unsophisticated, eason, map, polydor, silliness, suspend, artistic","expand, create, implement"
4,devious,"unsuspicious, power-obsessed, eccentric, unsuspected, depraved, resourceful, expansionist, diabolically, harebrained, evil-minded","infuriation, succeed, advised, soource, amused, resolve, location, unneeded, quickfix, dismayed","underhanded, cunning, deceitful, sneaky"
4,devour,"overwhelm, ingest, swallowers, satiates, seize, leviathans, eatin, disembowels, bewitch, flatten","charateristic, cherrypick, unconcern, toxically, appoligize, borrow, seduce, vegging, deduce, examing","consume,  eat"
1,diagram,"spirograph, fig.4, equation, dication, pie-charts, netlist, cross-hair, photograph, map-like, statecharts","prevision, overstate, reformulates, percise, temporising, cried, leval, retell, methodologic, imbalanced","graph, map, illustration"
6,didactic,"anti-utopian, panegyrical, medical-based, case-oriented, illuminative, rationalistic, cliché-ridden, axiological, whimsical, inartistic","convinction, fortuitous, rereview, indiciate, condemn, amenable, overwhelm, disinterested, blatent, goodwill","pedagogic, educative"
1,difference,"discrepant, hinderence, incongruencies, significanlty, type-token, symantics, divergencies, poiint, peculiarity, great","instantaneous, stupid, swear, landmark, formula, aid, capricious, conciliation, adjust, idential","discrepancy, variation, disparity, distinction"
1,different,"contradictory, relevant, thesame, same-same, interal, variated, vaious, varyingly, comparible, non-true","dynamism, admonition, warn, repast, warmonger, snubs, pertain, fascinating, zaniness, opt","\dissimilar, distinct, unlike"
5,digress,"usefule, piss-off, elide, counter-argue, misinterprete, misapprehend, reak, re-quote, well-put, non-reply","vividness, desolated, critial, commnity, their, amid, spunky, inexorability, replacement, unthink","ramble, stray"
6,digression,"rant, tiresome, annecdote, mini-lecture, prattle, neglection, subtility, self-justification, retrospection, whimsicality","actuallly, unbiased, incautious, seclusive, dirrect, beautifull, parasiting, recitalist, medieaval, irk","rambling, detour, variation"
5,dilemma,"misgiving, unrealism, porblem, solve, muddiness, paradoxalement, too-hasty, issue--and, unworkability, shortage","rederive, boarder, evidene, brought, interpret, prudence, authoritarian, fairness, tell, uncertain","predicament, quandary,  conundrum"
5,diligent,"confident, vigourous, inattentive, loving, clear-thinking, heedful, obedient, fastidiously, gracious, humble","uprise, facilitatory, comprising, conduct, chastisement, headline, undecipherable, conversant, automatize, caroused",assiduous
3,dimension,"concpet, dispersivity, value-form, infinty, quantity, value-system, object-space, one-dimensional, salience, measure","exuberance, ommit, opt, overcoming, coincidental, deteriorate, inlet, comprehension, bathetic, industrialism","property, attribute, aspect"
1,directions,"outlines, commands, fundaments, points, heading, obervations, signages, scences, perspectives, reorients","converging, revitalise, goslings, resentful, lulls, divy, authority, massivley, sublist, encourge","instruction, guidance, steering, paths"
1,disappointed,"unpleased, flustered, sympathized, pained, unfazed, despondent, enamoured, tired, concerned, grateful","equity, polydor, invariably, brouhaha, enflame, suvs, operationalize, calculate, jaded, consolidate","saddened, crestfallen, upset"
1,discover,"re-assure, conceptualize, findit, arrive, remmber, inderstand, replicate, recreate, found, initiate","restablish, refer, fearless, imigrant, irascible, hypokinetic, apathetically, bemusement, comraderie, reinserts","detect, find, expose"
6,discredit,"big-up, ostracize, defang, blacken, fear-monger, detraction, confound, mis-representation, highjack, de-politicise","reinspect, spurn, impling, pessimist, dreadfull, unneccessary, notifcation, provoke, proir, assistence","belittle, villify, smear"
6,disdain,"embitterment, detraction, circumspection, officiousness, irreverence, exasperations, sneery, contrariness, prejudice, temerity","extract, precatalyst, mistrustful, buffoonish, guidelines, juxtapositioning, misjudge, opercular, transparence, staffer"," contempt, scorn, antipathy"
6,disparage,"confuse, victimize, infuriate, reify, maligning, coddle, controvert, essentialize, aggrieve, arrogate","ensurance, reverent, offcially, careful, reappear, chewed, imperiling, skewed, chill, uneven","belittle, villify, smear"
5,disparity,"properity, breakdown, crowding-out, under-reporting, double-standard, gender-related, incongruencies, effect, cross-race, non-representation","examing, mention, qualifiable, precice, prearranged, relevants, identifcation, thriller, mindblowing, flashy","inequal, incongruence, mismatch"
3,dissatisfied,"miseducated, unsettled, perturbed, clueless, intimidated, over-anxious, obsessed, ill-motivated, work-obsessed, deluded","reproved, impel, superceed, subjectmatter, requirement, thining, conciliations, blinkered, speciality, militarise","annoyed, aggrieved,  unhappy"
5,disseminate,"re-produce, conceal, collectivise, conserve, vitalize, faciliate, classify, enrich, purvey, internalize","inefficient, disturbances, outline, clatter, worthwhile, reify, methodic, typify, ravage, trudged","spread, broadcast, publish, diffuse, promote"
5,dissent,"supress, critcise, affirmance, ever-louder, mob-rule, unanimous, stement, confrontative, unreconciled, relious","institutionalize, reiterates, professionalize, illegible, perpetuate, particuliar, earn, archetypical, underemphasize, extravagances","differ,  opposition, object, protest"
5,dissident,"militants, hard-left, non-jihadist, ex-roman, malcontent, pro-democracy, party-loving, anti-kremlin, leftists, ex-socialist","counterbalancing, vaguenesses, variational, jabbed, mportant, deemphasize, eschew, cauline, neutal, deduce","objector, protester, renegade, heterodox"
6,dissonance,"logicality, confusion, saliency, sensationalization, intransitivity, cadential, self-other, voice-leading, moralization, foregrounding","reivew, underpredict, psuedonyms, defame, noncontinuous, heimpel, dictatorship, liketo, underpin, nonchalance","cacophony, atonality, incongruity"
5,distort,"over-inflate, misrepresenting, redefine, cherrypick, divert, frustrate, stymy, superimpose, biases, attenuate","corelate, instils, ghastly, hyphenate, exent, read, wanly, subpoints, measurable, renounce","garble, misrepresent, warp, obfuscate, alter, twist, manipulate, skew, falsify, deform"
5,distraught,"rageful, unhappier, peeved, sad-faced, irrate, weepy, concerned, over-anxious, crazed, frustated","contraditions, weird, recirculates, enrgy, remainder, panderer, tatter, association, jettison, reintegration","bewildered, frightened, heartbroken, dejected"
2,distribute,"on-sell, protect, amplify, remunerate, self-generate, commoditise, suply, unload, suppress, propogate","coincide, jokester, disubstituted, oratorial, portentous, inaugural, vulnerably, snubs, subcomponent, fortuitous","deal, allot"
6,divergent,"intollerant, disjointedness, exocentric, evolutional, unreconciled, incommensurate, situation-specific, unilinear, asymmetrical, ideology-free","treaten, depleted, terseness, shoddy, casue, mendacious, counterclaim, cajole, linkify, acquiescence","differing, contradictory, disparate"
5,diversion,"crime-reduction, misdirections, trickledown, waste-reduction, crowding-out, disposal, time-release, water-pump, river-crossing, phasing-out","cowed, unredeemable, comprehension, whacked, synthesize, squealed, ascertain, semiabstract, rouse, shore","deviation, detour"
4,diversity,"racially-biased, open-ness, reducation, varing, ethno-cultural, sex-biased, equity, resiliency, equality, gender-equity","dejected, flimsy, lately, virtuously, paraphrase, collusion, lawyer, confusion, liason, habitants",variety
5,divert,"over-rely, bury, jettison, re-direct, drip-feed, atract, outflank, inundate, dump, integrate","reoccurrence, binge, regionalize, ratiocinative, madate, mollycoddle, loquacious, easily, ruthless, faithfulness","amuse, disport"
2,division,"inter-conference, split, fire-brigade, sub-units, championship, operations, reorganisation, battlegroup, sub-offices, counter-position","spate, tecniche, rascal, unrigorous, actual, bilk, qualificative, outfox, standarize, therefore","class, part, partition"
5,docile,"warm-hearted, meeker, mouthy, defiant, graceful, manipulable, circumspect, arrogant, open-hearted, good-hearted","dampen, efficiency, troublemaking, big, versal, interpretion, comendable, sayes, noncausal, preliminary","tame, obedient, pliant, submissive, gentle"
3,dominate,"continue, reate, redound, unsettle, devaluate, critcize, re-emergent, retrun, impinge, re-center","nullify, very, repast, newdata, enunciate, reward, waling, shiftless, jusrisdiction, citation","monopolise, rule, reign, master, eclipse, overshadow"
5,dormant,"thistle-like, intermittently, awakens, self-renewing, under-ground, plant-like, turned-off, remain, plant-filled, long-shuttered","antediluvian, specifical, contentless, caustic, tottered, commensurable, educate, lifeless, polemical, falacy","moribund, quiescent, inactive, sleeping, hibernating"
3,drastic,"long-feared, up-turn, systematical, modification, alarming, obliterative, reduction, surprising, prolonged, further-reaching","impishly, brutalizing, reassesses, disorientate, disdain, freedome, saying, originate, uneffective, engender","profound, sudden, precipitous, radical, abrupt"
1,drowsy,"monotonous, coma-like, tuneful, snored, thirsty, lulls, glassy-eyed, complacent, anxiety-ridden, unrefreshing","signeddata, registery, vasty, postulates, unnameable, presenter, contrast, transmit, questioned, uncooperative","sleepy, groggy, lethargic, dozy"
6,duplicity,"furtiveness, naivity, passiveness, misdirections, fatuousness, evasions, amateurishness, self-betrayal, guilelessness, illegality","exhilarating, duplications, profoundly, flock, maddened, recharacterized, supppose, interntional, temperamentally, comprehensive","deceit, deception"
3,edible,"oddly-shaped, monster-sized, tastless, dogfood, egg-free, awful-looking, salt-baked, fancy-looking, tea-based, plentiful","heteronomous, dissappointing, restraint, cacaphony, technocratic, entreaties, breake, fundamental, sutible, tecniche","nutritious, delicious, appetizing"
6,edifice,"re-erection, buildings-, re-erect, colonnade, three-story, 46-story, eleven-story, palatial, domed, pagoda-like","peruse, chastisement, supportiveness, midcoast, itself, exceptional, retracted, newname, grisly, abnormality","building, superstructure, facade, structure"
1,edit,"wiki-history, rewite, re-removal, userdraft, over-editing, pre-editing, article-content, revertable, auto-link, up-page","chuckled, aromantic, antiliberal, breake, cliffhanger, prettify, sweltered, reenergize, heterogeneous, analyze","cut, revsion, revert"
1,effect,"reacceleration, conﬂict, re-challenge, leval, subseqent, resonse, possibiity, counter-balancing, falling-off, force","handicraftsmen, circumstances, highflying, incurious, reconfirm, quetzal, generosity, baneful, hinder, heartless","force, result"
2,effective,"in-control, inter-active, high-benefit, open-hand, non-conducive, poweful, simulative, step-change, purposeful, critically-needed","relevent, beautiful, publicise, participation, nonliving, aberration, sticken, dissatisfactory, informaation, overprotect","successful, capable"
6,effervescent,"quicksilver, good-spirited, spunky, low-key, strong-minded, preternaturally, ever-smiling, unfussy, blissed-out, janus-like","primordialism, cranky, encouragment, amalgamate, fool, babbled, documents, readable, inconsolable, conundrum","bubbling, brilliant, scintillating, vivacious, exuberant"
3,effortless,"self-documentation, fabulousness, simple-mindedness, artful, on-the-ball, enjoyable, mindblowing, force-of-nature, appealingly, ostentatiousness","moralise, hobbiest, clawback, glow, disappear, propriate, sensible, glumness, genuine, twilight","straightforward, uncomplicated, easy"
5,egocentric,"idiological, hyper-active, hyprocritical, moralistic, passive-aggression, blinkered, consumeristic, pig-ignorant, status-conscious, self-seriousness","pained, veriable, calculate, superdiversity, superstrong, inauthentic, intellectualization, lengthiness, expose, authorises","arrogant, narcissistic, selfish"
6,egregious,"vexatious, apparent, un-controversial, nefarious, obvous, disuptive, self-serving, odd, block-worthy, horrifying","disheartened, amorphous, interational, far, raconteur, demoralization, refugees, irruption, believer, problematize","glaring, gross, flagrant, inexcusable, blatant"
3,elaborate,"defence-in-depth, subtle, pursuasive, contradictive, explicates, counter-narrative, straightforward, over-complicate, touched-up, pointing-out","liaise, efffect, expurgate, systematically, verbalisation, polite, revolt, unobvious, protect, nonresponsive","explanative, expand, refine, extensive, expound"
4,elapse,"7-days, fulness, biteyness, resynchronization, unprot, re-appeal, anticipation, reluctancy, pre-mature, instantaneity","amplitude, sentence, oposite, remving, straightfoward, equable, indispensable, tempted, eradicated, compendious","pass, lapse, expire"
5,elation,"pessimism, lonliness, exuberant, gut-level, exult, exhaustion, self-certainty, contentedness, self-confidence, cockiness","quizzical, legalistic, boisterous, temerity, coastal, receptacle, resorted, magnificence, convulsing, degeneracy","euphoria, excitement, joy, giddiness"
2,elect,"governmment, dethrone, super-delegate, politicall, governer, candidates, votin, coronate, presiden, confect","presumtion, harebrained, inebriated, naturalist, stifled, guesstimates, backpedaled, hailed, sensical, centralize"," chosen, appoint"
5,elicit,"anticipatory, reappropriate, forestall, irritate, dignify, receptivity, stupefy, formulate, sensitise, yield","transient, unintuitive, verbatim, styloid, masssive, commend, retain, confrontative, exmple, blissful"," generate, garner, provoke, evoke, induce, arouse, extract"
4,eligible,"fully-paid, receipients, non-veteran, high-need, incorrigibles, nonforfeitable, pre-approved, disqualifies, determined, disqualifed","properity, purposeful, conciseness, spotlight, ritualization, vivacious, phonologic, contemporary, pseudophysics, proceed","qualified, skilled, suitable"
2,eliminate,"stigmatize, vanquish, disorganize, de-motivate, resolve, eradicated, avoide, illegalize, neutralise, protect","scuffles, equal, industrialism, resonate, elucidate, neurotic, obnoxious, waking, hoard, anyonymous","remove, estinguish, abolish"
5,elude,"tranquilize, villify, deceive, overdramatize, uncover, comprehend, illuminate, vindicate, avoid, aggrandize","startling, meaningless, earliest, inundate, oratorial, transborder, cliffhanger, deplorably, past, emigrates","escape, dodge, skirt, evade"
5,elusive,"contradictory, damn-near, inconclusive, unambiguous, luminous, obstrusive, quirky, amorphous, undependable, near-limitless","lathering, lovebombing, easiness, quadratics, constitute, currrent, carinate, restful, catch, manipulativeness","mysterious, obscure,enigmatic, baffling"
4,embark,"accelerate, leave, aim, build, re-model, reconnoitre, re-tool, pre-cruise, stop-over, ship","dithyrambic, interjurisdictional, unskilful, convincted, unselfconscious, sensationalise, anomaly, coincide, obsess, vulture","begin, commence, venture, pursue, undertake"
1,embarrassed,"maddened, dissapointed, frighted, loose-lipped, disheartened, appauled, pleased, nonplused, agrieved, reproved","imprecise, replied, remarkably, revamp, spoof, vanishing, inveterate, unrepentent, faciliate, postmaster","mortified, discomfited, ashamed"
6,empathy,"sureness, resilience, respect, self-irony, self-reflexivity, love, reverence, meaningfulness, broadmindedness, scariness","unruffled, egalitarian, frankness, hypervigilant, troves, brawl, muddleheaded, encase, deceive, extracting","sensitivity, compassion, kindness"
4,emphasize,"rigidify, extoll, re-articulate, over-analyze, see--and, personalize, focuses, temporize, equivocate, polemicize","goads, wanly, disparaging, quick, mumble, deterrent, netlist, banish, posture, consider","accent, stress, underscore, highlight, accentuate, underline"
5,emulate,"out-innovate, de-humanize, outdo, re-dedicate, connect, popularise, allegorize, temporize, prophesize, outplay","blasphemy, concile, invites, theoretic, evaulate, etherial, enrapture, supporter, chills, premise","mimic, resemble, imitate"
4,encompass,"superceed, spiritualize, dematerialize, re-collect, appertain, comprising, covergae, excludes, instrumentalize, privide","captivate, fluidity, corrigible, exciting, update, mendacious, forecast, insomuch, flashy, saddening","comprise, include, cover, subsume"
3,encourage,"dispirit, pursue, undertake, allows, invites, tolerate, appeciate, self-improve, stop, persude","dialation, tyran, guesstimated, immortalization, preapproval, heal, frighted, enthrone, conscious, inobvious","advance, further"
2,endangered,"danger, protection-related, unsurvivable, resource-strapped, unstunned, weakened, tranquilised, undermined, out-lying, hurting","dragged, propitiate, alternate, radiologist, unrecognizable, working, paralyse, dryish, bleive, construtive","imperiled,  jeopardised, threatened"
4,endeavor,"aspect, frame-work, see--and, revolutionize, desire, re-kindle, reason--to, necessity, hit-job, toilsome","acquit, paradox, disloyalty, sooth, poiint, unhappily, unrefreshing, done, pervent, underline","attempt, effort"
1,energy,"high-energy-density, water-efficiency, etherial, biohydrogen, synfuels, carbon-intensive, bioelectric, non-commodity, renewability, carbon-free","continuesly, overcoming, differences, imperil, sloppy, tortious, deception, measure, faild, workaday","zip, vigor, vitality"
6,enervating,"deep-going, mind-changing, temporising, un-ending, invigoratingly, injudicious, recondite, troublesome, unfulfilling, uncoolness","bootlace, oddly, verbalize, précis, desolated, insanitary, furure, vaious, aggress, lifespan","demanding, onerous, stressful"
6,enhance,"build, minimise, enriches, re-energize, personalize, counter-act, dilute, redefine, rightsize, utilize","redemptive, defficient, ensurance, protect, cavort, musing, imigrant, squalls, mentor, implication","heighten, promote, improve, augment, raise, strengthen, bolster"
1,enormous,"less-than-obvious, eye-watering, increasing, indescribable, widely-acknowledged, impressiveness, super-massive, widespread, immeadiate, appalling","portayal, recommendation, diplomat, devise, admonish, remeasuring, verify, unstinting, ditty, coordinations","considerable, huge, vast, immense, gigantic, massive"
2,entirety,"summarized, material--and, completism, either, piecemeal, un-redacted, re-scoping, view-only, fully, contiguous","systematically, rarely, necessitate, recognizable, highest, avove, unsuspicious, anywhere, construct, unprocessable","whole, totality"
6,ephemeral,"non-substantive, quixotic, pseudo-reality, still-relevant, amorphousness, un-objective, short-lasting, unextraordinary, non-romantic, semi-objective","unoticed, hangdog, cancell, swallowers, dominate, imporve, travel, scences, repine, pragmatical","transitory, passing, evanescent"
3,equation,"factorise, 4-velocity, linearized, sextic, parametrization, reparametrization, wave-function, definitiion, hypercycle, thermodynamics","rightious, rigourous, commecial, braving, vitual, officiousness, eqivalent, experence, snickered, causal",formula
5,equitable,"properous, coherent, cost-free, defendable, broadly-based, need-based, generalizable, profitable, justifyable, universalizable","arise, anomie, unspectacular, palpitating, denouncing, defiant, crystalise, invariably, organized, ignominy","just, fair"
3,equivalent,"non-reduced, standard-level, point-free, versal, synonymous, alternative, distance-weighted, counter-part, minimum-weight, withdrawable","cadential, mirth, explanation, suggest, subcomponents, placeable, coziness, diffident, unifications, insomuch","analogous, tantamount, comparable"
6,equivocal,"ill-focused, vaguer, handwavy, ill-defined, non-indicative, debatable, evidence-backed, arguable, imagistic, corroborative","unfeigned, jlabel, ancient, neutral, bioaccumulate, laxer, certify, briefness, befuddle, replace","ambiguous, inconclusive"
5,eradicate,"re-populate, re-prioritize, restablish, validate, de-bug, de-populate, unify, revitalise, reinvade, resolve","farce, outplay, undertake, romanticise, confrontative, peek, prolife, discriptive, demonstrate, complement","uproot, destroy, banish"
6,erroneous,"silly, unsustained, not-unreasonable, infactual, falses, factless, mis-identification, mis-cited, slanderous, unhelpfull","differing, insubstantial, dissappointing, accept, stymy, proclaimed, catch, nihilist, story, rheometry","incorrect, false"
3,escalate,"spill-over, embroiling, stand-off, disolve, continuing, enflames, re-prioritize, dampen, re-engage, inflaming","submissive, respect, luminous, denouncement, applicate, instils, technophobe, estuarine, unhesitatingly, postitive","enflame, intensify"
1,escape,"breakover, torment, seive, travel, out-break, repell, dig-in, destine, trage, suppress","resourceful, meal, trudge, entrance, unelect, sociality, recombine, uncorrupted, tremble, award","leak, scarper, evade, flight, elude, flee"
2,essential,"significative, suppositious, inferrable, caracteristic, reasonnable, defficient, most-important, betterness, nonessential, meristic","mobocracy, instigator, dwelling, uprising, excercising, grimmer, keloid, exensive, sulkiness, crises","necessary, critical, indispensable, fundamental, requirement, requisite"
3,establish,"examine, meet, reate, re-validate, accomplish, destry, furnish, enfore, extend, calibrate","inobvious, nondescriptive, bemoan, amplitude, substantional, villify, insipid, digging, sudden, sweltered","prove, demonstrate"
1,estimate,"back-of-the-envelope, partial-year, overfit, annualise, claim, source, evaluate, interpolative, probablity, determinating","staying, pinnacle, pooped, unromantic, parametrization, expectable, review, pragmatic, relentless, homogeneity"," judge, figure, guess, gauge"
5,estrange,"uncanniness, humilate, frighten, chasteness, self-relation, irresistibility, solitariness, selfconfidence, queerest, down-the-road","disinterest, nondirectional, studying, replacement, inseparability, speckle, resistless, systematize, groan, binge","alienate, disaffect, embitter"
3,evaluate,"examing, inform, devise, readapt, re-describe, critize, particularize, analyzation, assign, remediate","curtailing, desert, humanity, stepped, envies, dimunition, endorsed, loquacious, eatable, nomadically","measure, assess, examine, value"
6,evanescent,"flittering, vanishing, inert, transcendently, unperceptive, tininess, unresting, ineffably, electro-luminescent, phantasm","recrossing, eject, unambivalent, resonable, cadenced, readdress, correct, persuades, pretentious, conciliatory","transitory, ephemeral"
2,event,"inaugural, die-in, non-course, contingency, reaction, newsiness, build-up, mini-crash, yet-unknown, postvention","immaculate, minimalize, unhappiness, implement, schematics, resentful, arrogating, vengeful, immediacy, pimary","ceremony, incident, matter"
2,evidence,"confirmation, counterargument, clues, documentable, substantiable, convicing, disconfirmation, reasonability, counter-statement, indiciation","incongruity, imperiousness, appam, questioned, decent, unrushed, betterness, orgin, prevent, concise",proof
4,evoke,"incite, re-create, enliven, re-inspired, dreamlike, exorcize, re-circulate, enervate, deaden, particularise","why, awkward, wealth, untarnished, concoct, populaces, skeptic, despotic, antipathy, misdescribe","elicit, stir, raise, arouse"
5,exacerbate,"over-crowding, lessening, simplify, worsened, destigmatize, overgeneralize, overcorrect, deteriorate, re-enforce, de-stabilizing","jarring, displeased, reasonable, repsective, comprehend, unshowy, superimpose, prearrange, betake, unconvenient","aggravates, worsen"
3,exaggerate,"downplays, conflate, underestimates, counteract, under-estimation, mis-cite, destress, embarrass, manipulate, relativise","interjurisdictional, warning, facsist, circumstances, retracted, skew, deportment, select, listlessly, heartlessly","amplify, overdo, magnify"
2,examine,"asess, argue, recharacterize, inform, refine, critically, speculate, refute, enquire, refind","concentrate, subquestion, superordinate, magnificent, colourfull, weblink, reprimand, enduring, educate, indifferentism","scrutinize, probe, investigate, appraise, evaluate, study"
2,example,"clearest, indicator, pointful, counter-question, cross-case, nextstep, leason, assuption, especially, resonse","presumptions, achieve, figuring, solicit, gaudy, surprises, encourages, attorney, reproachful, unaffiliated","instance, representative"
6,exasperation,"weariness, silliness, incoherence, dismays, grumblings, gruffness, impetuosity, cautiousness, animosity, derision","inept, assure, decry, fairminded, undisguised, recalled, coexpression, slapped, disgruntled, accuarate","impatience,  annoyance"
2,except,"certain, offten, both, disgard, anywheres, happens, thining, anyhing, avove, here-and","blubbing, vituperation, prodemocracy, compelling, ascribe, adjudge, revelance, impass, subseqent, macroclimate","besides, only"
5,excerpt,"66-page, mid-paragraph, prologue, 20000-word, prefacing, 47-page, blockquote, 1-page, illustrates, 10-word","economic, skimpy, iagree, frazzled, defintive, unplaceable, tottered, sudden, nonunique, profitable","paraphrase, extract"
2,exclaimed,"infuriated, sigh, grimaced, admonished, exult, boastfully, yowled, remembered, incensed, hailed","opnion, unspoilt, counterexample, loathsome, aggregious, disappears, scream, frosty, rarely, disassociate","cried, shouted, remarked, proclaim"
6,exemplary,"indispensable, illustrational, essential, combatitive, spectacular, well-crafted, conscientious, evidence-driven, common-core, fabulous","snappy, selective, seaboard, ascertain, unmeaningful, knowledgeable, enraged, sizeable, magnificent, defang","outstanding, admirable, praiseworthy, commendable"
5,exemplify,"strate, re-produce, relfect, presention, revivify, validate, re-affirm, humanize, comple, containerize","illusional, governmment, unphilosophical, strengthen, relate, abuts, noninformative, dino, awaken, trap","embody, epitomize, represent"
1,exercise,"stress-management, sit-to-stand, stretch-out, change-making, yoga-like, weight-control, self-audit, discretions, disciplin, building-up","bemused, grumble, imitate, comfortability, cyle, unfairness, slapped, insubordination, windshear, downsample","drill, employment, use"
3,exhaust,"out-gassing, inlet, incease, stepless, preburner, rear-mounted, roust, intercooled, outwait, combustable","breake, appreciable, shore, implimenting, cultist, culturism, spirograph, anecdotal, teamwork, moralistic","discharge, deplete, sap"
1,exhausted,"deaded, distracted, downhearted, exceded, supervened, available, half-starved, paralized, disenchanted, over-invested","think, dematerialize, befuddles, affectent, refugees, meet, incredibley, decipher, defininition, plaint","fatigued, wearied"
4,exonerated,"refuted, betrayed, villified, shamefaced, denyed, forgiven, committed, re-characterized, exculpation, retracted","pacifistic, injustice, reflect, curtsying, lulls, normal, unintelligible, intemperance, inlet, intreat","clear, cleared, exculpate, absolved"
3,expansion,"mass-transfer, triplication, re-determination, post-expand, accelerated, reformation, re-growth, annualization, self-expanding, intergeneration","noxious, propriate, redirect, savviest, disappeared, close, islamaphobe, officious, saw, reconnections","growth, development, enlargement"
1,expect,"advise, dount, normall, dumbfound, afford, encourge, prognosticate, hesistate, obliged, deserve","opt, immorality, nonconcurrence, totalist, theorical, hoard, stifle, chronicled, manage, stick","predict, assume"
3,expectation,"justifiability, cautiousness, upswell, incredulousness, anxiety, success, life-satisfaction, critical-mass, assure, base-line","distrust, unrecommended, eastcoast, conundrums, persuaded, substatiate, recuit, excludes, dull, dogmatical","hope, anticipation"
6,expedient,"governable, peaceable, effectuate, resorted, skilful, stop-gaps, unproper, ground-down, cheap, non-arbitrary","plaçant, churchwomen, disrupts, shuddering, frequent, interfere, entrance, unchallenging, fortitude, nonfatal","practical, pragmatic"
5,expedite,"rationalize, negociate, implement, stablize, assess, investigate, recommence, ramping-up, procede, rework","preannouncement, hope, demilitarise, great, itself, reinvigorates, mindframe, libtard, bruise, sell","hasten, facilitate, accelerate"
2,experience,"tramatic, repsonsibility, pre-job, discpline, hands-on, re-view, curiousness, self-involvement, re-appraise, develpoment","obsolesence, choosy, evoke, affluence, dramatical, thrive, references, roughen, voluminous, figuring","knowledge, training"
2,experiment,"re-sequence, cross-case, open-line, double-blind, investigation, design, lash-up, triality, please, eye-blink","exect, unexhausted, trun, grump, practical, guffawed, ignorant, relfect, invigorate, exent","study, test"
